cidades;cep
Betim;32600-001 a 32699-999
Bias Fortes;36230-000 a 36234-999
Bicas;36600-000 a 36603-999
Biquinhas;35621-000 a 35621-999
Boa Esperanca;37170-000 a 37174-999
Bocaina de Minas;37340-000 a 37349-999
Bocaiuva;39390-000 a 39396-999
Bom Despacho;35630-001 a 35639-999
Bom Despacho;35630-001 a 35637-999
Bom Jardim de Minas;37310-000 a 37329-999
Bom Jesus da Penha;37948-000 a 37949-999
Bom Jesus do Amparo;35908-000 a 35909-999
Bom Jesus do Galho;35340-000 a 35344-999
Bom Repouso;37610-000 a 37614-999
Bom Sucesso;37220-000 a 37222-999
Bonfim;35480-000 a 35484-999
Bonfinopolis de Minas;38650-000 a 38653-999
Bonito de Minas;39490-000 a 39491-999
Borda da Mata;37564-000 a 37565-999
Botelhos;37720-000 a 37729-999
Botumirim;39595-000 a 39597-999
Brasilandia de Minas;38779-000 a 38779-999
Brasilia de Minas;39330-000 a 39334-999
Brazopolis;37530-000 a 37539-999
Braunas;35189-000 a 35189-999
Brumadinho;35460-000 a 35469-999
Bras Pires;36542-000 a 36543-999
Bueno Brandao;37578-000 a 37579-999
Buenopolis;39230-000 a 39236-999
Bugre;35193-000 a 35193-999
Buritis;38660-000 a 38679-999
Buritizeiro;39280-000 a 39289-999
Cabeceira Grande;38625-000 a 38629-999
Cabo Verde;37880-000 a 37889-999
Cachoeira Dourada;38370-000 a 38379-999
Cachoeira da Prata;35765-000 a 35766-999
Cachoeira de Minas;37545-000 a 37547-999
Cachoeira de Pajeu;39980-000 a 39989-999
Caetanopolis;35770-000 a 35773-999
Caete;34800-000 a 34989-999
Caiana;36832-000 a 36833-999
Cajuri;36560-000 a 36567-999
Caldas;37780-000 a 37789-999
Camacho;35555-000 a 35556-999
Camanducaia;37650-000 a 37654-999
Cambuquira;37420-000 a 37429-999
Cambui;37600-000 a 37604-999
Campanha;37400-000 a 37404-999
Campanario;39835-000 a 39836-999
Campestre;37730-000 a 37739-999
Campina Verde;38270-000 a 38279-999
Campo Azul;39338-000 a 39339-999
Campo Belo;37270-000 a 37272-999
Campo Florido;38130-000 a 38139-999
Campo do Meio;37165-000 a 37169-999
Campos Altos;38970-000 a 38979-999
Campos Gerais;37160-000 a 37164-999
Cana Verde;37267-000 a 37269-999
Canaa;36592-000 a 36593-999
Candeias;37280-000 a 37299-999
Cantagalo;39703-000 a 39703-999
Canapolis;38380-000 a 38389-999
Caparao;36834-000 a 36835-999
Capela Nova;36290-000 a 36299-999
Capelinha;39680-000 a 39684-999
Capetinga;37993-000 a 37996-999
Capim Branco;35730-000 a 35731-999
Capinopolis;38360-000 a 38369-999
Capitao Andrade;35123-000 a 35124-999
Capitao Eneas;39472-000 a 39474-999
Capitolio;37930-000 a 37939-999
Caputira;36925-000 a 36929-999
Caranaiba;36428-000 a 36429-999
Carandai;36280-000 a 36289-999
Carangola;36800-000 a 36809-999
Caratinga;35300-001 a 35322-999
Caratinga;35300-001 a 35309-999
Carai;39810-000 a 39813-999
Carbonita;39665-000 a 39669-999
Careacu;37582-000 a 37583-999
Carlos Chagas;39864-000 a 39867-999
Carmo da Cachoeira;37225-000 a 37234-999
Carmo da Mata;35547-000 a 35549-999
Carmo de Minas;37472-000 a 37473-999
Carmo do Cajuru;35557-000 a 35559-999
Carmo do Paranaiba;38840-000 a 38859-999
Carmo do Rio Claro;37150-000 a 37159-999
Carmesia;35878-000 a 35879-999
Carmopolis de Minas;35534-000 a 35535-999
Carneirinho;38290-000 a 38294-999
Carrancas;37245-000 a 37249-999
Carvalhos;37456-000 a 37457-999
Carvalhopolis;37760-000 a 37774-999
Casa Grande;36422-000 a 36423-999
Cascalho Rico;38460-000 a 38464-999
CatAguases;36770-001 a 36779-999
CatAguases;36770-001 a 36775-999
Catas Altas;35969-000 a 35969-999
Catas Altas da Noruega;36450-000 a 36454-999
Catuji;39816-000 a 39816-999
Catuti;39526-000 a 39526-999
Caxambu;37440-000 a 37442-999
Cedro do Abaete;35624-000 a 35624-999
Central de Minas;35260-000 a 35264-999
Centralina;38390-000 a 38399-999
Chale;36985-000 a 36989-999
Chapada Gaucha;38689-000 a 38689-999
Chapada do Norte;39648-000 a 39649-999
Chiador;36630-000 a 36639-999
Chacara;36110-000 a 36119-999
Cipotanea;36265-000 a 36269-999
Claraval;37997-000 a 37999-999
Claro dos Pocoes;39380-000 a 39386-999
Claudio;35530-000 a 35533-999
Coimbra;36550-000 a 36554-999
Coluna;39770-000 a 39774-999
Comendador Gomes;38250-000 a 38259-999
Comercinho;39628-000 a 39629-999
Conceicao da Aparecida;37148-000 a 37149-999
Conceicao da Barra de Minas;36360-000 a 36369-999
Conceicao das Alagoas;38120-000 a 38129-999
Conceicao das Pedras;37527-000 a 37529-999
Conceicao de Ipanema;36947-000 a 36949-999
Conceicao do Mato Dentro;35858-000 a 35864-999
Conceicao do Para;35668-000 a 35668-999
Conceicao do Rio Verde;37430-000 a 37439-999
Conceicao dos Ouros;37548-000 a 37548-999
Confins;33500-000 a 33599-999
Congonhal;37584-000 a 37585-999
Congonhas;36410-001 a 36419-999
Congonhas;36410-001 a 36417-999
Congonhas do Norte;35850-000 a 35857-999
Conquista;38195-000 a 38199-999
Conselheiro Lafaiete;36400-001 a 36409-999
Conselheiro Lafaiete;36400-001 a 36408-999
Conselheiro Pena;35240-000 a 35245-999
Consolacao;37670-000 a 37679-999
Contagem;32000-001 a 32399-999
Coqueiral;37235-000 a 37239-999
Coracao de Jesus;39340-000 a 39349-999
Cordisburgo;35780-000 a 35784-999
Cordislandia;37498-000 a 37499-999
Corinto;39200-000 a 39204-999
Coroaci;39710-000 a 39714-999
Coromandel;38550-000 a 38569-999
Coronel Fabriciano;35170-001 a 35176-999
Coronel Fabriciano;35170-001 a 35175-999
Coronel Murta;39635-000 a 39639-999
Coronel Pacheco;36155-000 a 36156-999
Coronel Xavier Chaves;36330-000 a 36334-999
Couto de Magalhaes de Minas;39188-000 a 39189-999
Cristais;37275-000 a 37277-999
Cristiano Otoni;36426-000 a 36427-999
Cristina;37476-000 a 37477-999
Cristalia;39598-000 a 39599-999
Crisolita;39885-000 a 39889-999
Crucilandia;35478-000 a 35479-999
Cruzeiro da Fortaleza;38735-000 a 38739-999
Cruzilia;37445-000 a 37446-999
Cuparaque;35246-000 a 35247-999
Curral de Dentro;39569-000 a 39569-999
Curvelo;35789-001 a 35799-999
Curvelo;35790-001 a 35797-999
Cassia;37980-000 a 37989-999
Corrego Danta;38990-000 a 39099-999
Corrego Fundo;35568-000 a 35568-999
Corrego Novo;35345-000 a 35347-999
Corrego do Bom Jesus;37605-000 a 37609-999
Conego Marinho;39489-000 a 39489-999
Datas;39130-000 a 39134-999
Delfim Moreira;37514-000 a 37515-999
Delfinopolis;37910-000 a 37919-999
Delta;38108-000 a 38109-999
Descoberto;36690-000 a 36699-999
Desterro de Entre Rios;35492-000 a 35494-999
Desterro do Melo;36210-000 a 36211-999
Diamantina;39100-000 a 39119-999
Diogo de Vasconcelos;35437-000 a 35437-999
Dionisio;35984-000 a 35985-999
Divino;36820-000 a 36827-999
Divino das Laranjeiras;35265-000 a 35269-999
Divinolandia de Minas;39735-000 a 39739-999
Divinesia;36546-000 a 36549-999
Divinopolis;35500-001 a 35516-999
Divinopolis;35500-001 a 35515-999
Divisa Alegre;39995-000 a 39997-999
Divisa Nova;37142-000 a 37142-999
Divisopolis;39912-000 a 39914-999
Dom Bosco;38654-000 a 38657-999
Dom Cavati;35148-000 a 35149-999
Dom Joaquim;35865-000 a 35874-999
Dom Silverio;35440-000 a 35440-999
Dom Vicoso;37474-000 a 37475-999
Dona Euzebia;36784-000 a 36787-999
Dores de Campos;36213-000 a 36214-999
Dores de Guanhaes;35894-000 a 35899-999
Dores do Indaia;35610-000 a 35612-999
Dores do Turvo;36513-000 a 36514-999
Doresopolis;37926-000 a 37926-999
Douradoquara;38530-000 a 38539-999
Durande;36974-000 a 36975-799
Eloi Mendes;37110-000 a 37114-999
Engenheiro Caldas;35130-000 a 35134-999
Engenheiro Navarro;39363-000 a 39364-999
Entre Folhas;35324-000 a 35324-999
Entre Rios de Minas;35490-000 a 35491-999
Ervalia;36555-000 a 36559-999
Esmeraldas;32800-000 a 32824-999
Esmeraldas;32800-001 a 32809-999
Esmeraldas;32816-000 a 32823-999
Espera Feliz;36830-000 a 36831-999
Espinosa;39510-000 a 39515-999
Espirito Santo do Dourado;37566-000 a 37566-999
Estiva;37542-000 a 37544-999
Estrela Dalva;36725-000 a 36729-999
Estrela do Indaia;35613-000 a 35616-999
Estrela do Sul;38525-000 a 38529-999
Eugenopolis;36855-000 a 36859-999
Ewbank da Camara;36108-000 a 36109-999
Extrema;37640-000 a 37649-999
Fama;37144-000 a 37144-999
Faria Lemos;36840-000 a 36843-999
Felisburgo;39895-000 a 39899-999
Felixlandia;39237-000 a 39239-999
Felicio dos Santos;39180-000 a 39184-999
Fernandes Tourinho;35135-000 a 35137-999
Ferros;35800-000 a 35809-999
Fervedouro;36815-000 a 36819-999
Florestal;35690-000 a 35693-999
Formiga;35570-001 a 35579-999
Formiga;35570-001 a 35578-999
Formiga;35579-700 a 35579-999
Formoso;38690-000 a 38699-999
Fortaleza de Minas;37905-000 a 37909-999
Fortuna de Minas;35760-000 a 35762-999
Francisco Badaro;39644-000 a 39644-999
Francisco Dumont;39387-000 a 39389-999
Francisco Sa;39580-000 a 39589-999
Franciscopolis;39695-000 a 39699-999
Frei Gaspar;39840-000 a 39847-999
Frei Inocencio;35112-000 a 35112-999
Frei Lagonegro;39708-000 a 39709-999
Fronteira;38230-000 a 38239-999
Fronteira dos Vales;39870-000 a 39872-999
Fruta de Leite;39558-000 a 39559-999
Frutal;38200-001 a 38209-999
Frutal;38200-001 a 38207-999
Funilandia;35736-000 a 35737-999
Galileia;35250-000 a 35257-999
Gameleiras;39505-000 a 39507-999
Glaucilandia;39592-000 a 39593-999
Goiabeira;35248-000 a 35248-999
Goiana;36152-000 a 36154-999
Gonzaga;39720-000 a 39722-999
Goncalves;37680-000 a 37689-999
Gouveia;39120-000 a 39129-999
Governador Valadares;35000-001 a 35109-999
Governador Valadares;35000-001 a 35099-999
Grupiara;38470-000 a 38474-999
Grao Mogol;39570-000 a 39572-999
Guanhaes;39740-000 a 39744-999
Guape;37177-000 a 37189-999
Guaraciaba;35436-000 a 35436-999
Guaraciama;39397-000 a 39397-999
Guarani;36160-000 a 36164-999
Guaranesia;37810-000 a 37819-999
Guarara;36606-000 a 36607-999
Guarda-Mor;38570-000 a 38599-999
Guaxupe;37800-000 a 37804-999
Guidoval;36515-000 a 36519-999
Guimarania;38730-000 a 38734-999
Guiricema;36525-000 a 36529-999
Gurinhata;38310-000 a 38319-999
Heliodora;37484-000 a 37484-999
Iapu;35190-000 a 35192-999
Ibertioga;36225-000 a 36226-999
Ibiai;39350-000 a 39354-999
Ibiracatu;39455-000 a 39457-999
Ibiraci;37990-000 a 37992-999
Ibirite;32400-001 a 32449-999
Ibirite;32400-001 a 32439-999
Ibitiura de Minas;37790-000 a 37794-999
Ibituruna;37223-000 a 37224-999
Ibia;38950-000 a 38959-999
Icarai de Minas;39318-000 a 39319-999
Igarape;32900-000 a 32919-999
Igaratinga;35695-000 a 35699-999
Iguatama;38910-000 a 38929-999
Ijaci;37218-000 a 37219-999
Ilicinea;37175-000 a 37176-999
Imbe de Minas;35323-000 a 35323-999
Inconfidentes;37576-000 a 37577-999
Indaiabira;39536-000 a 39537-999
Indianopolis;38490-000 a 38499-999
Ingai;37215-000 a 37217-999
Inhapim;35330-000 a 35333-999
Inhauma;35763-000 a 35764-999
Inimutaba;39243-000 a 39244-999
Ipaba;35198-000 a 35198-999
Ipanema;36950-000 a 36952-999
Ipatinga;35150-001 a 35169-999
Ipatinga;35150-001 a 35168-999
Ipiacu;38350-000 a 38359-999
Ipuiuna;37588-000 a 37588-999
Irai de Minas;38510-000 a 38519-999
Itabira;35900-001 a 35907-999
Itabira;35900-001 a 35904-999
Itabirinha;35280-000 a 35289-999
Itabirito;35450-001 a 35459-999
Itabirito;35450-001 a 35457-999
Itacambira;39594-000 a 39594-999
Itacarambi;39470-000 a 39471-999
ItAguara;35488-000 a 35489-999
Itaipe;39815-000 a 39815-999
Itajuba;37500-001 a 37507-999
Itajuba;37500-001 a 37506-999
Itamarandiba;39670-000 a 39677-999
Itamarati de Minas;36788-000 a 36789-999
Itambacuri;39830-000 a 39834-999
Itambe do Mato Dentro;35820-000 a 35829-999
Itamogi;37973-000 a 37974-999
Itamonte;37466-000 a 37466-999
Itanhandu;37464-000 a 37464-999
Itanhomi;35120-000 a 35122-999
Itaobim;39625-000 a 39627-999
Itapagipe;38240-000 a 38249-999
Itapecerica;35550-000 a 35554-999
Itapeva;37655-000 a 37659-999
Itatiaiucu;35685-000 a 35689-999
Itaverava;36440-000 a 36449-999
Itau de Minas;37975-000 a 37979-999
Itauna;35680-001 a 35684-999
Itinga;39610-000 a 39614-999
Itueta;35220-000 a 35224-999
Ituiutaba;38300-001 a 38309-999
Itumirim;37210-000 a 37214-999
Iturama;38280-000 a 38287-999
Itutinga;36390-000 a 36399-999
Jaboticatubas;35830-000 a 35844-999
Jacinto;39930-000 a 39934-999
Jacutinga;37590-000 a 37595-999
Jacui;37965-000 a 37967-999
JAguaracu;35188-000 a 35188-999
Jampruca;39837-000 a 39839-999
Janauba;39440-001 a 39449-999
Janauba;39440-001 a 39448-999
Januaria;39480-000 a 39488-999
Japaraiba;35580-000 a 35581-999
Japonvar;39335-000 a 39335-999
Jaiba;39508-000 a 39509-999
Jeceaba;35497-000 a 35499-999
Jenipapo de Minas;39645-000 a 39647-999
Jequeri;35390-000 a 35399-999
Jequitai;39370-000 a 39372-999
Jequitiba;35767-000 a 35769-999
Jequitinhonha;39960-000 a 39969-999
Jesuania;37485-000 a 37487-999
Joanesia;35194-000 a 35194-999
Joaquim Felicio;39240-000 a 39242-999
Joaima;39890-000 a 39892-999
Jordania;39920-000 a 39924-999
Josenopolis;39575-000 a 39579-999
Jose Goncalves de Minas;39642-000 a 39643-999
Jose Raydan;39775-000 a 39779-999
Joao Monlevade;35930-001 a 35934-999
Joao Pinheiro;38770-000 a 38778-999
Juatuba;35675-000 a 35679-999
Juiz de Fora;36000-001 a 36107-999
Juiz de Fora;36000-001 a 36099-999
Juramento;39590-000 a 39591-999
Juruaia;37805-000 a 37809-999
Juvenilia;39467-000 a 39469-999
Ladainha;39825-000 a 39826-999
Lagamar;38785-000 a 38789-999
Lagoa Dourada;36345-000 a 36349-999
Lagoa Formosa;38720-000 a 38729-999
Lagoa Grande;38755-000 a 38759-999
Lagoa Santa;33230-001 a 33249-999
Lagoa Santa;33230-001 a 33241-999
Lagoa da Prata;35590-001 a 35594-999
Lagoa da Prata;35590-001 a 35593-999
Lagoa dos Patos;39360-000 a 39362-999
Lajinha;36980-000 a 36984-999
Lambari;37480-000 a 37483-999
Lamim;36455-000 a 36459-999
Laranjal;36760-000 a 36769-999
Lassance;39250-000 a 39259-999
Lavras;37200-001 a 37209-999
Leandro Ferreira;35657-000 a 35659-999
Leme do Prado;39655-000 a 39659-999
Leopoldina;36700-001 a 36709-999
Leopoldina;36700-001 a 36707-999
Liberdade;37350-000 a 37359-999
Lima Duarte;36140-000 a 36144-999
Limeira do Oeste;38295-000 a 38299-999
Lontra;39437-000 a 39439-999
Luisburgo;36923-000 a 36924-999
Luislandia;39336-000 a 39337-999
Luminarias;37240-000 a 37244-999
Luz;35595-000 a 35599-999
Machacalis;39873-000 a 39873-999
Machado;37750-000 a 37756-999
Madre de Deus de Minas;37305-000 a 37309-999
Malacacheta;39690-000 a 39694-999
Mamonas;39516-000 a 39516-999
Manga;39460-000 a 39464-999
Manhuacu;36900-001 a 36912-999
Manhuacu;36900-001 a 36908-999
Manhumirim;36970-000 a 36971-999
Mantena;35290-000 a 35297-999
Mar de Espanha;36640-000 a 36649-999
Maravilhas;35666-000 a 35666-999
Maria da Fe;37517-000 a 37519-999
Mariana;35420-001 a 35429-999
Mariana;35420-001 a 35427-999
Marilac;35115-000 a 35115-999
Maripa de Minas;36608-000 a 36609-999
Marlieria;35185-000 a 35187-999
Marmelopolis;37516-000 a 37516-999
Martinho Campos;35606-000 a 35609-999
Martins Soares;36972-000 a 36973-999
Mata Verde;39915-000 a 39916-999
Materlandia;39755-000 a 39764-999
Mateus Leme;35670-000 a 35674-999
Mathias Lobato;35110-000 a 35111-999
Matias Barbosa;36120-000 a 36122-999
Matias Cardoso;39478-000 a 39479-999
Matipo;35367-000 a 35367-999
Mato Verde;39527-000 a 39528-999
Matozinhos;35720-000 a 35729-999
Matutina;38870-000 a 38879-999
Medeiros;38930-000 a 38949-999
Medina;39620-000 a 39624-999
Mendes Pimentel;35270-000 a 35274-999
Merces;36190-000 a 36194-999
Mesquita;35116-000 a 35116-999
Minas Novas;39650-000 a 39654-999
Minduri;37447-000 a 37449-999
Mirabela;39373-000 a 39377-999
Miradouro;36893-000 a 36894-999
Miravania;39465-000 a 39466-999
Mirai;36790-000 a 36792-999
Moeda;35470-000 a 35472-999
Moema;35604-000 a 35605-999
Monjolos;39215-000 a 39218-999
Monsenhor Paulo;37405-000 a 37406-999
Montalvania;39495-000 a 39499-999
Monte Alegre de Minas;38475-000 a 38479-999
Monte Azul;39500-000 a 39504-999
Monte Belo;37115-000 a 37119-999
Monte Carmelo;38500-000 a 38509-999
Monte Formoso;39893-000 a 39894-999
Monte Santo de Minas;37968-000 a 37969-999
Monte Siao;37580-000 a 37581-999
Montes Claros;39400-001 a 39429-999
Montes Claros;39400-001 a 39422-999
Montezuma;39547-000 a 39549-999
Morada Nova de Minas;35628-000 a 35629-999
Morro da Garca;39248-000 a 39249-999
Morro do Pilar;35875-000 a 35877-999
Munhoz;37620-000 a 37629-999
Muriae;36880-001 a 36892-999
Muriae;36880-001 a 36891-999
Mutum;36955-000 a 36959-999
Muzambinho;37890-000 a 37899-999
Mario Campos;32470-000 a 32499-999
Nacip Raydan;39718-000 a 39719-999
Nanuque;39860-000 a 39863-999
Naque;35117-000 a 35117-999
Natalandia;38658-000 a 38659-999
Natercia;37524-000 a 37526-999
Nazareno;36370-000 a 36389-999
Nepomuceno;37250-000 a 37259-999
Ninheira;39553-000 a 39554-999
Nova Belem;35298-000 a 35299-999
Nova Era;35920-000 a 35929-999
Nova Lima;34000-001 a 34019-999
Nova Modica;35113-000 a 35113-999
Nova Ponte;38160-000 a 38169-999
Nova Porteirinha;39525-000 a 39525-999
Nova Resende;37860-000 a 37879-999
Nova Serrana;35520-001 a 35529-999
Nova Serrana;35520-001 a 35528-899
Nova Uniao;34990-000 a 34999-999
Novo Cruzeiro;39820-000 a 39824-999
Novo Oriente de Minas;39817-000 a 39817-999
Novorizonte;39568-000 a 39568-999
Olaria;36145-000 a 36145-999
Olhos D'Agua;39398-000 a 39399-999
Oliveira;35540-000 a 35542-999
Oliveira Fortes;36250-000 a 36254-999
Olimpio Noronha;37488-000 a 37489-999
Onca de Pitangui;35655-000 a 35656-999
Oratorios;35439-000 a 35439-999
Orizania;36828-000 a 36829-999
Ouro Branco;36420-000 a 36421-999
Ouro Fino;37570-000 a 37575-999
Ouro Preto;35400-000 a 35419-999
Ouro Verde de Minas;39855-000 a 39859-999
Padre Carvalho;39573-000 a 39574-999
Padre Paraiso;39818-000 a 39819-999
Pai Pedro;39517-000 a 39517-999
Paineiras;35622-000 a 35623-999
Pains;35582-000 a 35584-999
Paiva;36195-000 a 36199-999
Palma;36750-000 a 36759-999
Palmopolis;39945-000 a 39949-999
Papagaios;35669-000 a 35669-999
Paracatu;38600-001 a 38609-999
ParAguacu;37120-000 a 37129-999
Paraisopolis;37660-000 a 37669-999
Paraopeba;35774-000 a 35776-999
Para de Minas;35660-001 a 35665-999
Para de Minas;35660-001 a 35664-999
Passa Quatro;37460-000 a 37463-999
Passa Tempo;35537-000 a 35539-999
Passa Vinte;37330-000 a 37339-999
Passabem;35810-000 a 35814-999
Passos;37900-001 a 37904-999
Patis;39378-000 a 39379-999
Patos de Minas;38700-001 a 38719-999
Patos de Minas;38700-001 a 38709-999
Patrocinio;38740-001 a 38749-999
Patrocinio;38740-001 a 38748-999
Patrocinio do Muriae;36860-000 a 36869-999
Paula Candido;36544-000 a 36545-999
Paulistas;39765-000 a 39769-999
Pavao;39814-000 a 39814-999
Pedra Azul;39970-000 a 39979-999
Pedra Bonita;35364-000 a 35364-999
Pedra Dourada;36847-000 a 36849-999
Pedra do Anta;36585-000 a 36589-999
Pedra do Indaia;35565-000 a 35566-999
Pedralva;37520-000 a 37523-999
Pedras de Maria da Cruz;39492-000 a 39494-999
Pedrinopolis;38178-000 a 38179-999
Pedro Leopoldo;33250-001 a 33259-999
Pedro Teixeira;36148-000 a 36149-999
Pequeri;36610-000 a 36619-999
Pequi;35667-000 a 35667-999
Perdigao;35545-000 a 35546-999
Perdizes;38170-000 a 38174-999
Perdoes;37260-000 a 37261-999
Periquito;35118-000 a 35119-999
Pescador;35114-000 a 35114-999
Pecanha;39700-000 a 39702-999
Piau;36157-000 a 36159-999
Piedade de Caratinga;35325-000 a 35325-999
Piedade de Ponte Nova;35382-000 a 35382-999
Piedade do Rio Grande;36227-000 a 36229-999
Piedade dos Gerais;35476-000 a 35477-999
Pimenta;35585-000 a 35587-999
Pingo-D'Agua;35348-000 a 35349-999
Pintopolis;39317-000 a 39317-999
Piracema;35536-000 a 35536-999
Pirajuba;38210-000 a 38219-999
Piranga;36480-000 a 36499-999
Piranguinho;37508-000 a 37509-999
Pirangucu;37511-000 a 37511-999
Pirapetinga;36730-000 a 36739-999
Pirapora;39270-001 a 39279-999
Pirapora;39270-001 a 39277-999
Pirauba;36170-000 a 36179-999
Pitangui;35650-000 a 35654-999
Piumhi;37925-000 a 37925-999
Planura;38220-000 a 38229-999
Pocrane;36960-000 a 36969-999
Pompeu;35640-000 a 35649-999
Ponte Nova;35430-001 a 35435-999
Ponte Nova;35430-001 a 35434-999
Ponto Chique;39328-000 a 39329-999
Ponto dos Volantes;39615-000 a 39619-999
Porteirinha;39520-000 a 39524-999
Porto Firme;36568-000 a 36569-999
Pote;39827-000 a 39829-999
Pouso Alegre;37550-001 a 37562-999
Pouso Alegre;37550-001 a 37561-999
Pouso Alto;37468-000 a 37469-999
Poco Fundo;37757-000 a 37759-999
Pocos de Caldas;37700-001 a 37719-999
Prados;36320-000 a 36324-999
Prata;38140-000 a 38149-999
Pratinha;38960-000 a 38969-999
Pratapolis;37970-000 a 37972-999
Presidente Bernardes;36475-000 a 36479-999
Presidente Juscelino;39245-000 a 39247-999
Presidente Kubitschek;39135-000 a 39139-999
Presidente Olegario;38750-000 a 38754-999
Prudente de Morais;35738-000 a 35739-999
Quartel Geral;35625-000 a 35627-999
Queluzito;36424-000 a 36425-999
Raposos;34400-000 a 34499-999
Raul Soares;35350-000 a 35358-999
Recreio;36740-000 a 36749-999
Reduto;36920-000 a 36922-999
Resende Costa;36340-000 a 36344-999
Resplendor;35230-000 a 35239-999
Ressaquinha;36270-000 a 36271-999
Riachinho;38640-000 a 38648-999
Riacho dos Machados;39529-000 a 39529-999
Ribeirao Vermelho;37264-000 a 37266-999
Ribeirao das Neves;33800-001 a 33979-999
Rio Acima;34300-000 a 34399-999
Rio Casca;35370-000 a 35379-999
Rio Doce;35442-000 a 35443-999
Rio Espera;36460-000 a 36469-999
Rio Manso;35485-000 a 35487-999
Rio Novo;36150-000 a 36151-999
Rio Paranaiba;38810-000 a 38819-999
Rio Pardo de Minas;39530-000 a 39534-999
Rio Piracicaba;35940-000 a 35949-999
Rio Pomba;36180-000 a 36184-999
Rio Preto;36130-000 a 36131-999
Rio Vermelho;39170-000 a 39179-999
Rio do Prado;39940-000 a 39944-999
Ritapolis;36335-000 a 36339-999
Rochedo de Minas;36604-000 a 36605-999
Rodeiro;36510-000 a 36511-999
Romaria;38520-000 a 38524-999
Rosario da Limeira;36878-000 a 36879-999
Rubelita;39565-000 a 39567-999
Rubim;39950-000 a 39959-999
Sabara;34500-001 a 34799-999
Sabara;34500-001 a 34739-999
Sabinopolis;39750-000 a 39754-999
Sacramento;38190-000 a 38194-999
Salinas;39560-000 a 39562-999
Salto da Divisa;39925-000 a 39927-999
Santa Barbara;35960-000 a 35968-999
Santa Barbara do Leste;35328-000 a 35329-999
Santa Barbara do Monte Verde;36132-000 a 36134-999
Santa Barbara do Tugurio;36215-000 a 36219-999
Santa Cruz de Minas;36328-000 a 36329-999
Santa Cruz de Salinas;39563-000 a 39564-999
Santa Cruz do Escalvado;35383-000 a 35387-999
Santa Efigenia de Minas;39725-000 a 39727-999
Santa Fe de Minas;39295-000 a 39299-999
Santa Helena de Minas;39874-000 a 39874-999
Santa Juliana;38175-000 a 38177-999
Santa Luzia;33000-001 a 33199-999
Santa Margarida;36913-000 a 36917-999
Santa Maria de Itabira;35910-000 a 35919-999
Santa Maria do Salto;39928-000 a 39929-999
Santa Maria do Suacui;39780-000 a 39783-999
Santa Rita de Caldas;37775-000 a 37779-999
Santa Rita de Jacutinga;36135-000 a 36139-999
Santa Rita de Minas;35326-000 a 35327-999
Santa Rita do Ibitipoca;36235-000 a 36239-999
Santa Rita do Itueto;35225-000 a 35229-999
Santa Rita do Sapucai;37540-000 a 37541-999
Santa Rosa da Serra;38805-000 a 38809-999
Santa Vitoria;38320-000 a 38349-999
Santana da Vargem;37195-000 a 37199-999
Santana de CatAguases;36795-000 a 36799-999
Santana de Pirapama;35785-000 a 35788-999
Santana do Deserto;36620-000 a 36629-999
Santana do Garambeu;36146-000 a 36147-999
Santana do Jacare;37278-000 a 37279-999
Santana do Manhuacu;36940-000 a 36946-999
Santana do Paraiso;35179-000 a 35179-999
Santana do Riacho;35845-000 a 35849-999
Santana dos Montes;36430-000 a 36439-999
Santo Antonio do Amparo;37262-000 a 37263-999
Santo Antonio do Aventureiro;36670-000 a 36679-999
Santo Antonio do Grama;35388-000 a 35389-999
Santo Antonio do Itambe;39160-000 a 39164-999
Santo Antonio do Jacinto;39935-000 a 39939-999
Santo Antonio do Monte;35560-000 a 35564-999
Santo Antonio do Retiro;39538-000 a 39539-999
Santo Antonio do Rio Abaixo;35880-000 a 35893-999
Santo Hipolito;39210-000 a 39214-999
Santos Dumont;36240-001 a 36249-999
Santos Dumont;36240-001 a 36247-999
Sapucai-Mirim;37690-000 a 37699-999
Sardoa;39728-000 a 39729-999
Sarzedo;32450-000 a 32469-999
Sem Peixe;35441-000 a 35441-999
Senador Amaral;37615-000 a 37619-999
Senador Cortes;36650-000 a 36659-999
Senador Firmino;36540-000 a 36541-999
Senador Jose Bento;37586-000 a 37587-999
Senador Modestino Goncalves;39190-000 a 39199-999
Senhora de Oliveira;36470-000 a 36474-999
Senhora do Porto;39745-000 a 39749-999
Senhora dos Remedios;36275-000 a 36279-999
Sericita;35368-000 a 35369-999
Seritinga;37454-000 a 37455-999
Serra Azul de Minas;39165-000 a 39169-999
Serra da Saudade;35617-000 a 35619-999
Serra do Salitre;38760-000 a 38769-999
Serra dos Aimores;39868-000 a 39869-999
Serrania;37143-000 a 37143-999
Serranos;37452-000 a 37453-999
Serranopolis de Minas;39518-000 a 39519-999
Serro;39150-000 a 39159-999
Sete Lagoas;35700-001 a 35719-999
Sete Lagoas;35700-001 a 35718-999
Setubinha;39688-000 a 39689-999
Silverania;36185-000 a 36189-999
Silvianopolis;37589-000 a 37589-999
Simonesia;36930-000 a 36939-999
Simao Pereira;36123-000 a 36125-999
Sobralia;35144-000 a 35145-999
Soledade de Minas;37478-000 a 37479-999
Sao Bento Abade;37407-000 a 37407-999
Sao Bras do Suacui;35495-000 a 35496-999
Sao Domingos das Dores;35335-000 a 35337-999
Sao Domingos do Prata;35993-000 a 35999-999
Sao Francisco;39300-000 a 39316-999
